CB.CB_CD34_1	CB.CB_CD34_2	CB.CB_CD34_3	CB.CB_BFUE_1	CB.CB_BFUE_2	CB.CB_BFUE_3	CB.CB_CFUE_1	CB.CB_CFUE_2	CB.CB_CFUE_3	X20111212.CBPRO1	X20120309.CBPRO2	X20120327.CBPRO3	X20111212.CBEBASO1	X20120309.CBEBASO2	X20120327.CBEBASO3	X20111212.CBLB1	X20120309.CBLB2	X20120327.CBLB3	X20111212.CBPOLY1	X20120309.CBPOLY2	X20120327.CBPOLY3	X20111212.CBORTHO1	X20120309.CBORTHO2	X20120327.CBORTHO3	PB.PB_CD34_1	PB.PB_CD34_2	PB.PB_CD34_3	PB.PB_BFU_1	PB.PB_BFU_2	PB.PB_BFU_3	PB.PB_CFU_1	PB.PB_CFU_2	PB.PB_CFU_3	PB.Pro_PB_1	PB.Pro_PB_2	PB.Pro_PB_3	PB.Early_baso_PB_1	PB.Early_baso_PB_2	PB.Early_baso_PB_3	R.Late_baso_PB_1	R.Late_baso_PB_2	R.Late_baso_PB_3	R.Poly_PB_1	R.Poly_PB_2	R.Poly_PB_3	R.Orth_PB_1	R.Orth_PB_2	R.Orth_PB_3	Geneid
4	4.7	5.4	1.4	1.8	1	1.4	1.9	0.8	0.3	0.3	2.3	0.3	0.3	3	0.5	0.1	3.8	0.5	0.3	4.6	0.3	0.1	0.1	4.6	10.4	6.6	1.3	1.9	0.9	1.6	1.2	0.6	0.8	1.6	0.4	0.7	1.7	0.3	1.1	2.2	0.5	1.6	2.4	0.6	0.6	0.7	0.5	DDX11L1
53.8	108.1	89.4	69.3	67.9	60.9	90.7	105.9	51.3	79.7	77.5	131.5	97	98.6	178.4	114.5	136.7	202.4	90.4	128.6	160.1	21.1	31.7	25.6	166.9	144.5	102.3	203.7	171.5	310.3	89.3	80.4	93.1	93.4	109.4	74.2	110.4	134.6	82.7	112.9	156.7	137.7	59.1	107.9	48.3	14.8	21.8	17.7	WASH7P
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FAM138A
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FAM138F
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OR4F5
22.3	44.6	29.7	9.2	18.7	6.4	9.8	15.9	4.9	22.8	15.7	18.8	22.7	23.8	23.6	21.7	32.2	20.7	15.8	18.2	11.4	5.2	6.3	5.3	36.2	50.8	15.8	24.2	35.5	28.7	9.1	13	10.5	13.5	21.1	10.5	14.9	21.8	14.7	13.2	26.4	30.9	6.8	20.4	5.5	2.7	4.2	1.9	LOC729737
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LOC100132287
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LOC100132062
22.3	38.9	26.1	11.9	20.1	7.8	12.5	18.5	6	23.8	15	20.1	24.7	25.8	26.9	22.9	31.3	23.8	15.7	17.5	10.6	4.7	5	4.6	33.2	40.6	14.8	26.8	38.2	37.9	9.6	14.3	11.8	16	24	12.2	17.5	22.9	15.8	14.4	26.9	31.7	6.9	17.6	5.5	2.8	4.1	2.1	LOC100133331
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OR4F29
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OR4F16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OR4F3
8.8	9	7.3	5.1	4.8	3	4.5	4.5	3.1	6.1	4.2	5.6	6.8	8.1	7.2	6.9	9.7	7.8	3.8	4.3	2.7	0.8	1.1	1	1.4	0.8	1.4	0.8	1.7	0.8	1.6	3.1	1.9	5.2	7.1	3.8	6.1	6	3.7	5	7.3	4.7	1.6	4.2	1.1	0.7	0.9	0.3	LOC100288069
2.6	3.7	3.8	0.6	0.7	0.9	0.6	0.8	0.6	1.4	1.2	1.4	1.2	1.4	1.6	0.8	1	1.2	0.7	2	1.4	1.3	1	0.8	2.3	1.5	3	1.5	1.2	0.8	1.2	1.3	0.6	1.2	1.3	0.6	1.6	1.3	1.1	1.1	1.7	1.3	0.9	1.7	0.9	0.8	0.9	1	LINC00115
8	7.9	6.4	14.2	14.6	16.2	20.5	19.2	19.6	44.9	32.1	31.9	55.4	38.6	38.4	67.3	44	50.2	57.2	95.2	72.2	16.7	36.9	30	3.7	5.4	6.8	10.4	11.5	8.6	18.1	18.5	13.1	37.4	40.1	28.7	43.1	42.2	30.5	53.1	49.9	32.4	84.3	128.1	74.9	9.7	23.1	14.5	LOC643837
1.1	0.7	1.2	0.2	0.2	0.3	0.2	0.2	0.2	0.2	0.6	0.4	0.3	0.3	0.3	0.2	0.6	0.3	0.1	0.4	0.1	0	0.1	0.2	0.8	1.9	1	0.6	0.1	0.2	0.3	0.2	0.2	0.4	0.4	0.2	0.4	0.5	0.1	0.4	0.4	0.3	0.3	0.3	0.2	0.1	0.3	0.1	FAM41C
0.1	0.2	0.1	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.1	0.1	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LOC100130417
0.5	0.8	1.5	0.3	0.8	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.2	0.9	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SAMD11
62.6	106.7	109.6	144.2	165.3	166.2	178.9	197.6	179.1	147	117.7	132.4	128.2	109.2	129.5	78.2	87.9	87.9	13.8	13.4	12.3	9.6	4.1	3.7	55.4	47.9	99.6	65.2	80.6	86	138.3	130	181.9	98	87.4	102	78.6	69.4	84	50.6	53.6	80.6	9.1	14.7	13.9	7.4	7.4	4.5	NOC2L
1.2	3.3	3.7	2.8	3.6	2.8	4	5.3	1.5	4.8	4.6	10.1	5.8	4.8	11.8	4.9	7.9	10.2	2.2	3.6	5.8	0.5	0.3	0.3	0.6	0.9	2.8	8.1	12.8	14.5	3.7	4.8	2.9	3.2	4.6	2.4	4.2	5.5	2.7	3.6	5.8	5.8	0.4	2.4	0.7	0.2	0.3	0.1	KLHL17
0.1	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.3	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PLEKHN1
0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0.1	0	0.2	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	C1orf170
0.5	1.7	0.6	0	0	0	0	0	0	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0	0	0	0	0.3	0.2	0.6	0.3	0.3	0.6	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	HES4
4.4	14	13.7	5.2	7.9	4.1	4.4	6.2	1.3	4.9	2.8	5.3	4.2	3	5.1	3.3	2	4	3.8	2.8	2.9	15.8	9.5	9.8	16.8	23.1	25.4	33.6	20.4	33.8	8.3	5.6	8.6	2	1.9	3.6	1.8	1.6	3.7	1.3	1.4	4.5	2.4	2.3	6	24.4	11.8	27.8	ISG15
3.5	7.7	5.1	4.6	9.6	6.4	19.9	17.5	8.3	93.7	62.5	116.4	85.6	80.1	109.9	76.1	83	96.9	13.9	18.5	11.7	4.9	5.3	3.5	5.4	5.7	6.8	8.3	13.4	20.1	26.3	17.3	17	41.8	43	42.1	38	40.3	49.2	30.6	48.9	62.5	2.2	9.5	5.3	0.8	1	0.8	AGRN
0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RNF223
0.5	4.6	3.2	3.5	7.9	3.7	7.4	9.7	1.7	14.7	8.3	14.6	11.6	10.1	15.3	8.4	10.6	12.6	3.7	4.3	5.7	0.5	0.2	0.3	3.6	4.8	4.1	9.3	14	11.9	13.5	10.6	12.2	6.3	6.5	6.8	5.6	5.8	7.4	3.9	6.8	8.2	0.5	2	1.9	0.1	0	0.2	C1orf159
0.1	0.1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LOC254099
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MIR200B
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MIR200A
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MIR429
0.9	2	1.6	1	1	1.3	0.1	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	1.7	1.5	0.4	0.4	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TTLL10
0.6	2	1.3	0.1	0.4	0.4	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4	7.2	4.2	0.7	0.7	1.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TNFRSF18
0.1	2.1	1	0.2	0.5	0.5	0.2	0.6	0.1	0	0	0.1	0	0.1	0	0	0.1	0	0	0	0.1	0.1	0	0	1	1	1.4	0.1	0.9	0.8	0.1	0.1	0.1	0	0	0	0	0.1	0	0	0	0	0	0	0	0.1	0	0	TNFRSF4
33.7	54.9	54	95.4	126.4	93.7	90.7	102.7	71.8	99.3	70.3	92.2	81.2	68.7	88.8	67.6	60.3	65.9	43.6	34.7	38.2	31.7	12.1	10.3	59.9	39.8	55	85.5	74.8	76.2	106.1	100.1	110.7	68.2	61	72	60.4	57.3	71.9	49.7	54.6	67.7	16.9	29.6	32.8	22.5	21.6	16.3	SDF4
2.3	7.7	2.8	29.4	32.2	21.6	27.5	26.4	17.8	24	19	20.2	13.4	12.8	17	5.9	7.1	7.7	0.6	0.4	0.3	2.3	0.1	0.1	6.5	5.8	5.6	66.4	40.3	27.2	36	32.3	31.2	12.8	10.3	11.1	7.7	5.7	9.5	3.6	3	7	0.1	0.3	0.5	0.7	0.6	0.2	B3GALT6
0	0.2	0.1	0	0.1	0.2	0.2	0.5	0	0.4	0.3	0.7	0.3	0.5	0.8	0.1	0.2	0.3	0.2	0.1	0.2	0.3	0.1	0	0.6	0.8	0.3	0.3	0.4	0.6	0.3	0.1	0.3	0.2	0.3	0.2	0.1	0.2	0.3	0.2	0.3	0.4	0.1	0.1	0	0.1	0.1	0.1	FAM132A
9.5	17.4	12.7	31.1	37.1	31.5	49.2	55.2	36.7	86.1	75.1	88	79	77.4	87.8	62.3	64.1	66.9	41.1	36.1	42	29.5	17.8	15.1	16.7	28.5	20.5	55.9	65.5	58.2	69.7	60.1	72.3	58.7	51.6	62	52	46.4	60.6	41.6	47.1	65.1	19.4	31.6	29.5	12.5	16.1	11.6	UBE2J2
3.8	10.4	12.7	0.9	1.2	0.6	2.2	2.6	0.4	4.1	2.5	6.7	2.6	2	5.3	1.3	1.4	2.3	0.3	0.1	0.7	0.1	0	0	7.1	6.4	11.1	4	3.3	12.2	1.6	1.8	1.1	3.3	2.9	1.4	2.3	1.6	1.1	1	1.1	2	0	0.3	0.1	0	0	0	SCNN1D
9.7	21.8	17	13.2	16.9	11.2	17.9	22.9	8.1	44.5	27.1	65.8	43.4	33.1	72.9	38.3	31.4	52.6	13.5	15.6	23.5	8.7	5.8	4.8	22.9	22.9	15.9	31.6	41.6	65.8	22.7	22.1	19.3	26.6	28.7	19.2	25.7	26	21.1	19.8	28.2	29.3	2.9	11.6	5.5	1.5	2.8	0.8	ACAP3
2.1	4.1	3.6	7.1	8.9	8.7	7.9	9.9	5.6	14.8	9.3	17.6	12.6	7.9	15.7	8.6	8.3	11.8	3.5	4.4	5.2	1.9	0.7	1.1	4.1	5.1	4.8	8.9	9.5	9.6	8.9	9.6	11	7.4	7.1	7.1	6.1	5.8	6.9	5.1	5.9	6.4	0.7	1.3	2.4	1.2	1.9	1.6	PUSL1
56.7	92.5	93.1	88.6	105.3	84.6	101.3	113.7	64.2	90.4	77.7	98.5	88.9	85.8	105.6	82.6	84.1	93.9	46.5	38.6	43.1	17	10	8.3	66.9	68.3	86.6	65.4	90.7	100.2	92.6	98.2	94.8	83.9	85.9	75.6	75.4	81.8	80.3	67.8	84.3	88.3	18.8	34.7	20.1	14.2	22.5	5.1	CPSF3L
1.1	3.9	2.2	5.9	8.5	6	9.1	10.3	3.5	24.5	15.5	23.6	20.6	13.7	21.3	20.1	15	20.5	31.5	20.3	28.7	33.4	13.4	11.2	6.6	5.9	3.8	11.7	9.7	9.9	17.2	13.2	17.2	12.1	10.5	12.4	11.1	8.6	13	11.4	10.5	14.3	6.8	12	12.3	8.5	11.6	14.1	GLTPD1
0.2	0.7	0.3	0.1	0.3	0.1	0.1	0.3	0	0.4	0.3	0.5	0.5	0.4	0.4	0.3	0.2	0.3	1.6	0.5	1.5	2.4	1.4	1	0.8	0.2	0.3	0.1	0.3	0.6	0.5	0.1	0.2	0.1	0.2	0.1	0.3	0.3	0.1	0.2	0.1	0.2	0.2	0.4	0.1	0.6	0.7	0.7	TAS1R3
9.8	32.2	31.1	18.7	31.8	19.5	32.4	47.4	11.7	52.9	40.7	65.5	36.6	36.7	58.6	23.1	26.5	33.7	9.7	8	10.8	3.9	1.6	1.4	26.5	24.3	35.3	24.3	39.2	32.6	43.5	44	47.3	35.7	30.2	29.4	26	23.5	28.7	15.4	19.8	29.7	1.8	5.6	3.8	1.8	2	1.6	DVL1
1.5	1.9	2.7	0.4	0.3	0.6	0.4	0.6	0.5	0.8	0.2	1.3	0.4	0.2	0.7	0.1	0.1	0.1	0	0.2	0.2	0.1	0	0	0.6	2.2	1.5	0.5	1.3	2.3	0.2	0.1	0.2	0.2	0.5	0.1	0.2	0.1	0.2	0	0.3	0.1	0.1	0.3	0.1	0	0	0.1	MXRA8
15.9	30.2	28	44.1	55.8	57.8	49.6	58.6	49.9	79.3	57.2	73.1	70.8	59	74.9	53.4	59.6	65.6	33.8	28.3	33.6	28.9	14.9	14	38.2	63.1	58.7	206.1	168.5	137.2	56.4	42.9	69.6	50.1	48.4	57.2	45.7	45.8	65.2	40.2	45.1	79	11.5	18.3	26.3	20	18.3	21.9	AURKAIP1
65.2	108.5	67.7	31.7	36	31.9	39.5	44.3	31.2	75.2	64.2	104.5	71.8	80.4	116.7	53.5	77.5	91.3	26.9	48.2	53.8	15	21.3	19.7	65.7	97	76.8	66.5	111.6	112.4	40.5	47.8	37.7	64.9	88.8	39.2	69.5	83.3	42.6	54.4	80.6	73.3	26.4	58.4	9.4	13.8	22.6	2.8	CCNL2
7	10.9	6.4	25.6	29.9	27.8	25.6	27.1	24.9	23.8	16.8	22.5	17.7	15.2	18.8	11.5	12.3	13.9	3.9	3.5	4.4	3.7	1.6	1.6	7.2	4.3	5.7	22.2	14.9	16.9	19.4	23.2	23.3	19.1	19.3	15.1	16.1	14.9	15.5	11.8	12	16.1	2.4	4	3.1	2.9	2.5	1.3	LOC148413
15.6	22.6	20.3	54	62	65.9	66.7	69.2	77.6	66.4	74.1	56	63.9	76.8	69.2	42.5	61.9	52	14.6	13.1	13.4	13.1	6.9	5.9	18.8	23.1	30.1	79.4	66.6	58.6	67.8	61.2	86.5	61	55.8	67.9	56.2	51.9	69	36.8	37.8	72	13.3	17.6	19.1	14	11.7	12.6	MRPL20
0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0.6	0.3	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ANKRD65
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TMEM88B
0.2	0.4	0.2	0.3	0.4	0.6	0	0.1	0.1	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	1.4	1.6	0.5	1.9	2.7	2.4	0.2	0.2	0.2	0	0.1	0	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0	VWA1
4.6	10.3	10.1	9.7	13.8	13.6	17.3	20.6	11.9	32.8	24.5	22.1	27.8	22.3	21.8	13.3	13.3	11	2	2.1	2	0.6	0.3	0.4	5.3	6.4	10.7	5.7	12.4	8.3	16.9	17.1	18	20.7	17.3	16.2	12.1	10.7	12.9	6.1	7.8	11.2	0.6	1.5	0.9	0.2	0.3	0.2	ATAD3C
19.7	49.4	45.7	36.8	52.5	49	59.1	74.2	41.7	141.5	79.3	90.4	124.9	89.4	93.5	62.1	61	49.7	8.4	11.9	7.9	2	1.7	1.3	29	30.7	51.7	50.9	80.4	85.8	64.3	60.4	65	67.3	62.9	53.1	45.9	41.5	46.4	24.6	30.2	46.1	2.3	7.7	3.8	0.8	0.9	0.6	ATAD3B
18.5	52.5	48.5	54.6	85.6	64.1	89.4	124.9	58.5	179	116.1	142.5	144.8	115.4	145.4	74	75.3	78.4	12.2	12.4	12.4	2.8	2	1.4	33.4	38.7	55.6	88.4	124.6	120.8	111.4	99.8	125.5	85.1	77	76.8	56.5	48.1	67.2	30.2	37.9	60.9	3.1	8.8	7.4	0.7	1.1	1.3	ATAD3A
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.3	0	0	0.1	0	0.2	0.1	0	0.1	0.1	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0.1	TMEM240
65.7	64.9	64.3	111.5	107.7	122.9	125.1	123.5	138.2	92.6	89.1	77	77.8	75.4	71.6	52.1	54	52.2	32.6	25.3	30.1	34.8	23.8	19.9	60.9	63.5	92.3	136.4	123.6	98.7	119.5	129.9	135.7	71.8	67.9	63.9	57.3	52.5	52.6	42.9	42.2	54	26.8	27.5	19.4	38.6	31.9	26.6	SSU72
0.7	4.1	1.9	7.2	11.7	8.7	7.1	9.6	3.7	4.9	1.8	1.7	1.4	0.8	0.7	0.3	0.1	0.2	0	0	0	0	0	0	5.7	8.2	6.4	33.7	37.3	22.8	11.7	11.5	9	1.6	1.5	1.2	0.3	0.3	0.8	0	0.2	0.4	0	0.1	0.1	0	0	0	C1orf233
5.1	25.1	18.2	6.6	14.9	4.6	9.8	12.1	2	22.3	19.7	35.4	17	19.3	33	15	17	19.9	13.7	8.7	11.3	16.4	5.1	4.8	22	25	27.5	14	19.3	21.4	16.5	17	13	13.5	10.7	10.1	11.1	10.2	10.6	7.5	9.8	16.7	2.5	6.2	3.6	4.4	5	2.5	MIB2
0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MMP23B
0.1	0.6	0.6	0	0	0	0.1	0.2	0	0.2	0.1	1.5	0.2	0.1	0.9	0.2	0.2	0.8	0.2	0.3	1	0.2	0	0	1	2.2	1.2	0.3	0.1	0.5	0	0.1	0.2	0.1	0.2	0.1	0.1	0.2	0	0.2	0.2	0.1	0.1	0	0.1	0	0.1	0	MMP23A
24.5	40.9	32.4	51.8	63.6	50.7	67	77.1	49.9	87.4	69.5	94.6	92.3	89.6	112.3	95.9	95	104.3	116.5	118.3	139.9	51	66.6	54.9	68.5	99.5	32.7	62.3	88.5	79	70.7	74.8	82.9	63.1	71.3	69.9	69.6	72.8	79.6	66	80.2	95.1	56.7	94.4	51.2	30.3	37.8	20.4	CDK11B
92.8	133	97.6	168.8	156.5	124.5	156.9	167.5	108.4	111.7	97.1	141.4	88.9	93.1	122.3	74.6	90	102.2	90.4	69.7	100.7	50.7	37.9	29.4	86.1	52.4	54.1	85.8	118.8	72.1	152.3	167.7	126.6	96	117.4	109.6	88.5	99.3	101.5	75.8	91.8	102	52	82.4	29.7	38.6	38.8	15.2	SLC35E2B
21.8	35.9	27.7	40.8	51.8	41.4	56.7	67.4	41.1	77.5	64.3	84.9	82.3	78.3	102.1	85.4	89.9	94.9	123.2	144.8	155.6	61.2	97.8	83.4	65.1	104.6	30.7	64.8	90.8	84.5	59.1	63.9	74.9	51.3	64.9	60.2	56.1	65.6	71.6	52.5	71.7	89.4	60.8	106.7	51.7	28.4	43.5	20.3	CDK11A
68.1	91.4	69.9	123.8	103.5	86.3	109.7	112.6	76.5	111.7	67.1	93.3	87.2	64.6	83.5	73.2	62.8	74.3	88.4	53.4	76.2	49.4	29.1	20.5	76.4	47.3	57.7	73.2	87.5	63.5	109.3	108.8	86.7	73	95	70.8	67.9	80	65.5	57.9	71.9	71.9	42.7	66.2	21.4	28.6	28.9	10.2	SLC35E2
41	57.3	52	85.2	85.9	75.8	116.1	118.9	75.2	122.4	100.5	119.5	99.1	93.7	118.6	67.6	73.8	93.8	35.9	31.3	31.5	16	10.2	8.6	30.6	38.4	51.6	109.3	130.1	103.5	119	115.7	112.2	82.5	85.4	75.9	69.5	62	74.9	46.4	52.5	78.2	15.7	30.7	21.9	3.2	7.6	4	NADK
472.6	519.3	431.5	498.2	508.6	473.9	384.8	393.3	385.7	276	273.3	244.4	243	238.7	215.7	213.5	219.9	201.7	189.9	157.7	140.2	83.1	53	45.9	347.3	254.2	377.4	209.4	233.3	213.4	377.5	373	360.9	238	248.1	246.7	224.2	219.6	221.1	216.9	213.7	210.2	58.4	103.4	98.4	58.1	48.8	38.6	GNB1
0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0	0	0	0.1	0.2	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CALML6
0.3	0.4	0.6	0.7	0.3	0.5	1.4	1.1	1.6	1.1	1.1	0.8	0.7	0.4	0.6	0.2	0.1	0.2	0.9	0.6	0.2	0.8	0.1	0.2	0.1	0.1	0.4	1	1.5	1.3	0.7	0.9	1.1	0.2	0.3	0.2	0	0.1	0.2	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	TMEM52
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KIAA1751
0.2	0.3	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.2	0.2	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GABRD
9.6	10.8	11.6	2.2	2.3	1.6	0.7	0.8	0.9	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	8.2	3.9	7.2	1.5	2.8	4.1	0.8	1.3	1	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0.1	0	0	0	PRKCZ
7.8	15.8	13.7	9.6	14.4	9.3	11	13.3	5	21.1	11.5	18.6	16.6	10.2	17.4	11.6	10.9	13	5.1	3.3	3.2	4.3	1.4	1.3	32	45.5	26.8	42	33.7	31.7	20.8	14.8	21.7	6.5	6.7	8.5	5.9	5.5	10.2	4	5.2	11.1	0.9	1.4	2.3	1.3	1.3	2.1	C1orf86
355.3	374.2	186.6	48.5	62.3	61.1	61.6	75.6	55.9	90.3	61	74.9	80.7	73.2	85.5	69.6	65.9	70.3	45.1	36.9	37.7	16.8	6.4	5.1	35.5	36.9	312.2	40.5	62.7	40.8	94.2	85.1	73.1	65.8	71.2	67.3	60.5	61.4	64.7	52.5	56.6	55.6	9.4	24.6	23.6	4.8	6.2	4.7	SKI
2	3.7	2.6	1.8	2.1	1.8	2.6	3.1	2.1	2.9	3.8	3.2	3.5	4.6	3.6	2.9	4.6	2.3	1.2	1.2	1.9	0.3	0.1	0.1	2.7	2.7	2.6	1	1.1	2.7	1.7	2.3	3.1	3.7	3.6	3.5	4.6	3.9	3.9	3.8	4.7	4.1	0.4	1.1	1	0.2	0.1	0.1	MORN1
1.3	2.3	2	0.8	1.2	0.9	1.2	1.5	0.8	1.5	1	1.7	1.2	1.4	1.1	0.9	1.1	0.9	0.2	0.3	0.2	0	0	0	0.7	0.7	1.3	0.7	1.2	1.9	0.6	1	1.3	2.1	2.1	1.8	1.5	1.6	1.6	1	1.7	2.3	0.1	0.2	0.3	0	0	0	LOC100129534
